n_total,kl,ssi,nmax,region
72763,0.007356368033763397,0.3141733611010183,30,sweden
184619,0.007047130606970308,0.3029929449926253,100,sweden
259774,0.006942045936654619,0.30223434660960463,200,sweden
298566,0.006867982557588989,0.3014507159763169,300,sweden
321393,0.006891458395409289,0.30181967904823587,400,sweden
334401,0.006870991861145225,0.301305393711435,500,sweden
342481,0.006897151530652561,0.3036157737176069,600,sweden
347893,0.0069652404049363355,0.30134015177236323,700,sweden
351340,0.006932062365050717,0.30192003546624274,800,sweden
353702,0.006935402868071341,0.30044002861579044,900,sweden
355327,0.006903025620954595,0.30156582790803876,1000,sweden
357711,0.006925494329774028,0.30157017188198015,1500,sweden
357711,0.006871953612542579,0.3031026162252993,2000,sweden
357711,0.0068567101537930645,0.30241859011600347,100000,sweden
92928,0.00380648113460906,0.4368830231163872,30,netherlands
227567,0.003644693492738189,0.4335154979696264,100,netherlands
314748,0.0037918676653623654,0.4323191066012765,200,netherlands
358195,0.003753800268161374,0.4316647426742304,300,netherlands
381639,0.0037293335907807724,0.43228657079862476,400,netherlands
394300,0.0038548713605751263,0.43225128795760287,500,netherlands
401102,0.003795671283485422,0.4324864415882606,600,netherlands
405045,0.0037811998585293373,0.4318517755243157,700,netherlands
407949,0.0037465761862908696,0.4328951076925501,800,netherlands
409119,0.003769997515415855,0.4327342494449547,900,netherlands
409864,0.0037823054702473733,0.43200384929768165,1000,netherlands
410267,0.003755412859491972,0.43151618436852823,1500,netherlands
410267,0.003783642099565589,0.43265705732117465,2000,netherlands
410267,0.003763436930710903,0.4318178471857967,100000,netherlands
198699,0.003276496381077808,0.5107646235065294,30,saopaulo
510263,0.0031012357031195764,0.5108766838243229,100,saopaulo
741635,0.003209325660041465,0.510421487952687,200,saopaulo
869197,0.003144109929640776,0.5100142807028724,300,saopaulo
944592,0.003172635668951473,0.5103463291823259,400,saopaulo
990620,0.003177616923424541,0.509653585642506,500,saopaulo
1018973,0.0031989121513159645,0.5099712196273751,600,saopaulo
1036350,0.0032264448039987705,0.5097658555652944,700,saopaulo
1046157,0.003218523238822487,0.5101487714365968,800,saopaulo
1051696,0.0032464223155813264,0.5106527712750777,900,saopaulo
1055594,0.00325918936880666,0.5102428780884078,1000,saopaulo
1058864,0.0032565344589406504,0.5100508165688538,1500,saopaulo
1058864,0.0032084478640372937,0.5102381437570626,2000,saopaulo
1058864,0.0032160136705565914,0.509916951862377,100000,saopaulo
