n_indi,n_total,kl,ssi,region
317,5960,0.016788218998530623,0.20419116854050157,sweden
633,13882,0.013639131168911833,0.25564077935203333,sweden
949,24226,0.010495904531824793,0.2815115736113463,sweden
1265,37900,0.010930225962023102,0.2926569580658548,sweden
1581,55617,0.009428055463108202,0.3013360049718651,sweden
1897,79643,0.00869172028029801,0.30529240724750045,sweden
2213,111362,0.00815800867196697,0.30576492059673444,sweden
2529,152543,0.007641759274331432,0.3055000176698319,sweden
2845,217888,0.0071136087214611924,0.305049303874537,sweden
3165,357711,0.006837068293214563,0.30375598060937475,sweden
422,7640,0.00661393167904413,0.27428516842621253,netherlands
843,17219,0.0053464488851459185,0.3344338332235315,netherlands
1264,29346,0.005048925487033641,0.36170925190688363,netherlands
1685,45416,0.005427746926595292,0.37904193809658826,netherlands
2106,65682,0.005278416166946106,0.39216483848020256,netherlands
2527,93819,0.005116616402646577,0.4030800481430451,netherlands
2948,129874,0.004620551785349819,0.41222234744010416,netherlands
3369,178334,0.0042325360268272855,0.4200520505384243,netherlands
3790,252831,0.004088853849469887,0.42760175525889715,netherlands
4215,410267,0.0037559650847119605,0.4328412154033339,netherlands
834,15746,0.00646935575070084,0.45301991463399377,saopaulo
1667,37409,0.005497809834105917,0.47544238561599916,saopaulo
2500,66107,0.004361032135191853,0.48999097104639483,saopaulo
3333,104214,0.0038809096457181782,0.4979933250771791,saopaulo
4166,155590,0.0037158255254600156,0.5074080120562781,saopaulo
4999,223845,0.0034833535282669573,0.5111260838867255,saopaulo
5832,316477,0.003424114966731996,0.5113966392061579,saopaulo
6665,448989,0.0032912575585698346,0.5115145494164407,saopaulo
7498,647451,0.0032024268900769266,0.5108186099775467,saopaulo
8331,1058864,0.003205424327036015,0.5098881549300146,saopaulo
