region,func_name,r2,ks_p,median,ks,para1,para2,para3
australia,lognormal,0.9705120627623239,0.08917504272273033,5.857203442375479,47.53958491973781,1.6496107709113406,1.6700239923806213,
austria,lognormal,0.9239829982753196,0.7172406757022983,4.237667704945871,27.91597100160918,1.4082897084650963,1.6275599081090721,
barcelona,lognormal,0.9524758268148843,0.076666476506202,3.406120593967945,89.54080753471439,1.285092435222091,1.5094115903516934,
capetown,lognormal,0.9097465463795206,0.47591987485970977,5.501415255329464,37.17361426355927,1.4940098732662919,1.6644081580038597,
cebu,lognormal,0.9530759298636948,0.2652839637339911,3.541142599100505,27.993374486438725,1.329132462272013,1.5335108887038913,
egypt,lognormal,0.8979918883582658,0.3711124319616647,5.178500402666835,23.81936732771605,1.1450428654420333,1.6959833516048537,
guadalajara,lognormal,0.9028579144382236,0.2754297748946292,5.166505321668423,44.4050402956542,1.7814533709618527,1.7059993304138792,
jakarta,lognormal,0.94538685279675,0.005844246067571869,5.105821297080523,88.7260320575695,1.446030977040788,1.6902879930761432,
johannesburg,lognormal,0.9111953538530029,0.4885809479154586,7.287211269339211,37.673389789258565,1.5748157412501365,1.792948848754253,
kualalumpur,lognormal,0.9524834502121454,0.017768997963227142,6.505288454193293,166.13068398412935,2.0891939811922424,1.932671949520203,
lagos,lognormal,0.9262913680630182,0.32421486845206654,3.980835595561128,62.209624856254976,1.0739227481377969,1.5826169986373402,
madrid,lognormal,0.9742191404601555,0.016371390755820864,4.423455583830489,20.470742990971775,1.336703266837366,1.5796116198214918,
manila,powerlaw_al,0.9259341013932758,0.11544463207812326,5.192840370736703,54.6668765421389,2.17238564398119,1.7668719899168508,
moscow,lognormal,0.9645292968928625,0.061084957031864576,8.005730945601835,52.78908683687421,1.9654622220156837,1.855474796866009,
nairobi,lognormal,0.8863219994387486,0.42469769023892584,4.11395590738457,33.50128801531252,1.1318653578279798,1.6485248590978747,
netherlands,lognormal,0.9603750571072643,0.09226793824228616,7.289438412589407,6.322701807861861,1.6792784682793582,1.6905758614680626,
rio,lognormal,0.9574676371371464,0.036937383873266554,6.937114488773567,63.760573599122736,1.714723350714253,1.7509071885319036,
saopaulo,lognormal,0.9685035404400083,0.008122768483751099,5.4452123281772735,68.28622164491057,1.6461870267925676,1.7094927969058917,
saudiarabia,lognormal,0.9097363405882485,0.09579057044888299,6.708985004604515,35.05498884094614,1.838312544603629,1.8107044736782627,
stpertersburg,lognormal,0.9683119850948638,0.005215533261106602,5.657113754415297,52.28931466918797,1.6743579274491385,1.6341858164508865,
surabaya,lognormal,0.9337152734465479,0.18490313297900385,4.52908631480781,84.40785180537492,1.489620650193468,1.6252377564873501,
sweden,lognormal,0.9725414042390292,0.145623624154922,5.643772227835741,24.51327626356295,1.5212621917891713,1.5965232873993367,
