distance,model_sum,groundtruth_sum
"(-0.001, 2.153]",0.4841233730402661,0.47401017375029086
"(2.153, 3.119]",0.07319729160232401,0.08525838655323952
"(3.119, 3.875]",0.044964434045375506,0.0503383813752568
"(3.875, 4.522]",0.03531025611337721,0.031930459281695266
"(4.522, 5.107]",0.027897032948230947,0.026932102724184587
"(5.107, 5.635]",0.023493622586286046,0.021909471183823373
"(5.635, 6.128]",0.019601066937965587,0.016137291648928943
"(6.128, 6.599]",0.01780873697137451,0.01624016998268634
"(6.599, 7.053]",0.01501327164753628,0.015367158522056236
"(7.053, 7.474]",0.013964311212474616,0.012486936874650105
"(7.474, 7.904]",0.012089957068138637,0.009464860909689782
"(7.904, 8.308]",0.011635909181745785,0.011281754371056527
"(8.308, 8.691]",0.010781230807359236,0.010468551835905133
"(8.691, 9.084]",0.009291780201234457,0.008842143830297595
"(9.084, 9.455]",0.009447422773219825,0.00917296703487169
"(9.455, 9.831]",0.00851356734130762,0.009024726458295648
"(9.831, 10.182]",0.008322945863771535,0.007981574002432266
"(10.182, 10.537]",0.008093684897545701,0.007070538813789112
"(10.537, 10.884]",0.007326996095649139,0.008019108801392727
"(10.884, 11.233]",0.005752403037253619,0.005544387665463469
"(11.233, 11.587]",0.006133374838019196,0.005658559685573088
"(11.587, 11.917]",0.0054782660332863605,0.006126316275144494
"(11.917, 12.256]",0.005446134247954887,0.005660827379993755
"(12.256, 12.591]",0.005161828957490326,0.005403200722490007
"(12.591, 12.894]",0.004855695745344891,0.004710078241814061
"(12.894, 13.237]",0.004627519396345437,0.0042431332243515005
"(13.237, 13.555]",0.004477571064798558,0.0048262346616049865
"(13.555, 13.88]",0.004075313650965296,0.004895971298947764
"(13.88, 14.211]",0.004080465582790595,0.005313265493600752
"(14.211, 14.523]",0.0038951316142331067,0.003962773401072954
"(14.523, 14.836]",0.004023523178405705,0.0038462157064887096
"(14.836, 15.156]",0.0031596255575949373,0.0035025703072309447
"(15.156, 15.473]",0.0035347675407687274,0.004490054747201423
"(15.473, 15.797]",0.003007507991595301,0.0035572412976864875
"(15.797, 16.125]",0.00315691401452899,0.0034367714734424813
"(16.125, 16.426]",0.003086820626274256,0.0030892669873219805
"(16.426, 16.749]",0.003106208159195778,0.003400789564386434
"(16.749, 17.059]",0.0031852496395681383,0.0032268367556196774
"(17.059, 17.378]",0.002709644985801005,0.0027720395520163385
"(17.378, 17.704]",0.0027984480212107747,0.003050660313671775
"(17.704, 18.024]",0.0027912624320860146,0.0030124446793389965
"(18.024, 18.341]",0.002778247025369468,0.002286486713194046
"(18.341, 18.659]",0.0026407717919259464,0.002899889399742041
"(18.659, 18.989]",0.002283661570140705,0.003111648288374116
"(18.989, 19.311]",0.002373413645623556,0.00218291147455208
"(19.311, 19.639]",0.002794245129458556,0.001972320934633203
"(19.639, 19.982]",0.002579762072942135,0.0024111196874687197
"(19.982, 20.313]",0.0021446949880109126,0.0024521135343723707
"(20.313, 20.659]",0.0021091737738470045,0.0022479718842004794
"(20.659, 21.0]",0.0018923859057245283,0.0023712897123326928
"(21.0, 21.344]",0.0019257378854356786,0.002208744404333314
"(21.344, 21.704]",0.0021746575388896286,0.0025678344962522864
"(21.704, 22.058]",0.0016433306751172808,0.002052776227238128
"(22.058, 22.405]",0.001942956183904443,0.0021154028687166487
"(22.405, 22.778]",0.0017844664916998312,0.0021465733332915833
"(22.778, 23.156]",0.0016825124724202177,0.0017319735169756408
"(23.156, 23.529]",0.001655803773220638,0.0023284065538233516
"(23.529, 23.903]",0.0014299322358272389,0.0018643647969017643
"(23.903, 24.293]",0.0015552055254739981,0.001951578438124294
"(24.293, 24.694]",0.001374752334435214,0.001732850549683207
"(24.694, 25.083]",0.0014838919428395876,0.0017036614242324744
"(25.083, 25.48]",0.001342213817643848,0.0014098620727737566
"(25.48, 25.903]",0.001492433303497321,0.0018422807544268504
"(25.903, 26.307]",0.0013518397955279604,0.0013787190167435196
"(26.307, 26.728]",0.0012367347923785033,0.0017305606791820137
"(26.728, 27.172]",0.0013576696131197467,0.0016980181333501251
"(27.172, 27.613]",0.0011403394363840814,0.001477282230959059
"(27.613, 28.072]",0.0009771045438140618,0.0012557364626659515
"(28.072, 28.537]",0.001167048135583661,0.0010463081325108256
"(28.537, 29.02]",0.001034589256812142,0.0011624842978915915
"(29.02, 29.508]",0.0009659872172436785,0.001310044819203215
"(29.508, 30.008]",0.0010741777855749705,0.0011527453100433223
"(30.008, 30.531]",0.000832579298399078,0.000976279541360877
"(30.531, 31.055]",0.0008849120795718583,0.0011591872594406932
"(31.055, 31.61]",0.0009852391730119034,0.000910131363736321
"(31.61, 32.159]",0.0007896013408038153,0.0007398243987583382
"(32.159, 32.722]",0.0007050011971462636,0.0010956261413601542
"(32.722, 33.318]",0.0006773434578736025,0.0006776425491216297
"(33.318, 33.942]",0.0006022337149468659,0.0009911355835468699
"(33.942, 34.577]",0.0006305693399860138,0.0007082784426874959
"(34.577, 35.243]",0.000748250309048121,0.0008578872663012596
"(35.243, 35.953]",0.0006526684159734832,0.0006358248493265954
"(35.953, 36.688]",0.0006008779434138925,0.0008101903239113317
"(36.688, 37.433]",0.0005225143488080192,0.0005628863919993658
"(37.433, 38.256]",0.0005940990857490244,0.0004457713007076929
"(38.256, 39.126]",0.0005866423423176697,0.00047373750095969615
"(39.126, 40.055]",0.0006064366066990841,0.00048805336909992034
"(40.055, 41.052]",0.0004964835353749263,0.0004114339673612779
"(41.052, 42.126]",0.0004629959785104789,0.0003070037793217118
"(42.126, 43.271]",0.0004579796238384766,0.0002554721807074699
"(43.271, 44.547]",0.0004132391632503484,0.00028847317554178415
"(44.547, 45.989]",0.000474384459387457,0.0003422204847176488
"(45.989, 47.528]",0.0005109902907777438,0.00023515967925009785
"(47.528, 49.428]",0.0004956700724551423,0.00021955351981413538
"(49.428, 51.466]",0.0005564086371323588,0.0003334893766859041
"(51.466, 54.047]",0.0006407376264833157,0.00019842823810414285
"(54.047, 57.445]",0.0006156558531233044,5.587720719024778e-05
"(57.445, 61.969]",0.0005942346629023218,0.00017326710635911114
"(61.969, 69.585]",0.0005968106288149716,7.748888596376645e-05
"(69.585, 127.43]",0.00045513250361923206,9.931857946730402e-05
