days,kl,region
1,0.007968063604549646,sweden
5,0.009188817508707888,sweden
10,0.008720429289986441,sweden
20,0.007660424915849945,sweden
30,0.007024735804637173,sweden
40,0.007114762416197377,sweden
50,0.007060814653686179,sweden
60,0.00694757762566158,sweden
70,0.006908687361670602,sweden
80,0.006963322638477061,sweden
90,0.006810654224026104,sweden
100,0.006719869236569303,sweden
110,0.006839525185929534,sweden
120,0.006761274260087004,sweden
130,0.006785948669778228,sweden
140,0.006758941261173695,sweden
150,0.006648507536532139,sweden
160,0.00679092862015759,sweden
170,0.006784785073502322,sweden
180,0.006797265386727489,sweden
190,0.0068897869401029046,sweden
200,0.006769795578302575,sweden
210,0.00682094832819383,sweden
220,0.006748435745725309,sweden
230,0.0067537811956704,sweden
240,0.0069328761302499065,sweden
250,0.006899393381330389,sweden
260,0.0068652478870310715,sweden
270,0.006899695097515214,sweden
280,0.00684646845919621,sweden
290,0.006941917731613294,sweden
300,0.006944426143222485,sweden
1,0.006382470644887444,netherlands
5,0.007036950512691754,netherlands
10,0.006098723009564505,netherlands
20,0.00517725280600641,netherlands
30,0.004613379169239511,netherlands
40,0.004273473732290169,netherlands
50,0.0041507249363428094,netherlands
60,0.003963167857325275,netherlands
70,0.00384946088740481,netherlands
80,0.003696932952045983,netherlands
90,0.0037584162375499356,netherlands
100,0.003733571453239431,netherlands
110,0.0036831040199727366,netherlands
120,0.0035611856866204165,netherlands
130,0.0035795442841887255,netherlands
140,0.0035633335874554837,netherlands
150,0.003632955779727664,netherlands
160,0.0035967815048435978,netherlands
170,0.0035275601289869035,netherlands
180,0.0035548338752395847,netherlands
190,0.003605707992303564,netherlands
200,0.0036450869211420477,netherlands
210,0.003660135654554991,netherlands
220,0.003687437355192316,netherlands
230,0.003761074988264831,netherlands
240,0.003701295443011838,netherlands
250,0.0037780052400553554,netherlands
260,0.0036985812718819183,netherlands
270,0.003883629972647473,netherlands
280,0.0037922033003609636,netherlands
290,0.003817592940604798,netherlands
300,0.003917096776684867,netherlands
1,0.011693066387810525,saopaulo
5,0.008433496354245095,saopaulo
10,0.006713168660682121,saopaulo
20,0.005016012471259412,saopaulo
30,0.004048314942347501,saopaulo
40,0.003534772539729533,saopaulo
50,0.0031373360816650446,saopaulo
60,0.003040049477862777,saopaulo
70,0.0028409685768278447,saopaulo
80,0.0027610794815998456,saopaulo
90,0.002749057342799071,saopaulo
100,0.0026879244308937395,saopaulo
110,0.0026883793969849556,saopaulo
120,0.0026876335944090923,saopaulo
130,0.002670338578460919,saopaulo
140,0.0026711624296662795,saopaulo
150,0.0027469021803114275,saopaulo
160,0.002732826465964855,saopaulo
170,0.002834872031246721,saopaulo
180,0.002825482790299564,saopaulo
190,0.002878220637888977,saopaulo
200,0.002922749621342615,saopaulo
210,0.002947076475168588,saopaulo
220,0.0030553847126623696,saopaulo
230,0.003051608669543906,saopaulo
240,0.0030956253261882802,saopaulo
250,0.003150710937921452,saopaulo
260,0.0032263788973306818,saopaulo
270,0.003338635109469829,saopaulo
280,0.0033437997464532596,saopaulo
290,0.0033595165859376533,saopaulo
300,0.003421957528174312,saopaulo
