country,runid,p,gamma,beta,national
saopaulo,20200909_002130,0.6,0.5,0.07,0.005211825356115214
saopaulo,20200909_085448,0.8,0.4,0.06,0.0028344730837974036
saopaulo,20200909_093505,0.8,0.6,0.06,0.0034373460099792474
saopaulo,20200909_101245,0.95,0.4,0.06,0.004051107589227357
saopaulo,20200909_105033,0.95,0.6,0.06,0.0027700811327441744
saopaulo,20200909_112804,0.8,0.4,0.08,0.0026980077624940567
saopaulo,20200909_120628,0.8,0.6,0.08,0.005448804912778766
saopaulo,20200909_124415,0.95,0.4,0.08,0.003062448705693199
saopaulo,20200909_132211,0.95,0.6,0.08,0.0038405597495477267
