country,runid,p,gamma,beta,national,east,west
sweden,20200906_200755,0.3,0.5,0.01,0.022790417882025835,0.06833291307833048,0.07033289337348332
sweden,20200906_223440,0.3,0.8,0.03,0.04024257283256391,0.01928207797483779,0.020395925409205595
sweden,20200907_091333,0.2,0.4,0.005,0.051233364169482806,0.1521331235618102,0.14130535537127176
sweden,20200907_092732,0.2,0.6,0.005,0.05194393812212823,0.14436531519557752,0.13499390940224862
sweden,20200907_094115,0.4,0.4,0.005,0.049135913986357305,0.17198004742358985,0.15141121313551645
sweden,20200907_095548,0.4,0.6,0.005,0.04792850442929716,0.15714990035095164,0.1447379630473926
sweden,20200907_100959,0.2,0.4,0.015,0.019194475908723342,0.04014921337180059,0.042435204029343435
sweden,20200907_102401,0.2,0.6,0.015,0.020336665727415906,0.03206313771274872,0.036742255651336916
sweden,20200907_103743,0.4,0.4,0.015,0.023207585592556257,0.06527792242331952,0.05885085067201325
sweden,20200907_105222,0.4,0.6,0.015,0.02305069837789582,0.047589435646718026,0.04563211275950039
sweden,20200907_110636,0.2,0.4,0.02,0.024403782804997637,0.033753915832827996,0.03149418757478357
sweden,20200907_112043,0.2,0.6,0.02,0.02539094151734963,0.023265910546636688,0.0267996915042002
sweden,20200907_113437,0.4,0.4,0.02,0.03361195796359753,0.060019531832474604,0.047823619993864024
sweden,20200907_114922,0.4,0.6,0.02,0.03031137158246408,0.04010068793709215,0.03434873725285782
sweden,20200907_134619,0.2,0.7,0.02,0.028295196023653667,0.019754352859889666,0.024893009781068703
sweden,20200907_140002,0.2,0.9,0.02,0.032536355079499715,0.015592644754287913,0.022812284123081516
sweden,20200907_141343,0.4,0.7,0.02,0.028393966685404306,0.03224481412343472,0.031578239600655825
sweden,20200907_142754,0.4,0.9,0.02,0.03250443623333801,0.025629083703134,0.026956081262207682
sweden,20200907_144150,0.2,0.7,0.04,0.0650685361444498,0.0183797765407123,0.02284565233820129
sweden,20200907_145540,0.2,0.9,0.04,0.07321587278855818,0.01486523625859206,0.02229841258420962
sweden,20200907_150923,0.4,0.7,0.04,0.07401813582714982,0.03086522264233424,0.02711781008256963
sweden,20200907_152344,0.4,0.9,0.04,0.07809961654422755,0.0218983271851618,0.02335421605697931
